Food_Item,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Nutrient_Density_Score,Protein_Efficiency,Sugars_g,Sodium_mg,Saturated_Fat_g,Cholesterol_mg
"Fruit Smoothie, Light",53.0,2.61,9.71,0.61,1.0,Smoothies and grain drinks,beverages,19.7,73.28,10.36,6.81,0.05,7.47,31.0,0.32,2.0
"Fruit Smoothie, With Whole Fruit And Dairy",66.0,2.32,11.98,1.1,1.1,Smoothies and grain drinks,beverages,14.06,72.61,15.0,5.18,0.04,8.91,28.0,0.59,4.0
"Fruit Smoothie, With Whole Fruit And Dairy, Added Protein",79.0,7.35,10.04,1.24,1.1,Smoothies and grain drinks,beverages,37.22,50.84,14.13,10.0,0.09,7.36,40.0,0.67,5.0
"Fruit Smoothie, With Whole Fruit, No Dairy",54.0,0.61,12.67,0.35,1.5,Smoothies and grain drinks,beverages,4.52,93.85,5.83,3.91,0.01,8.78,2.0,0.04,0.0
"Fruit Smoothie, With Whole Fruit, No Dairy, Added Protein",76.0,6.23,12.2,0.44,1.6,Smoothies and grain drinks,beverages,32.79,64.21,5.21,10.0,0.08,8.14,13.0,0.09,1.0
"Fruit Smoothie, With Whole Fruit, Non-Dairy",60.0,1.45,11.56,1.06,1.1,Smoothies and grain drinks,beverages,9.67,77.07,15.9,4.25,0.02,5.17,23.0,0.14,0.0
"Horchata, Made With Milk",91.0,1.42,19.65,0.63,0.4,Smoothies and grain drinks,beverages,6.24,86.37,6.23,2.0,0.02,9.56,9.0,0.32,2.0
"Horchata, Made With Water",88.0,1.09,20.45,0.13,0.5,Smoothies and grain drinks,beverages,4.95,92.95,1.33,1.81,0.01,8.07,4.0,0.03,0.0
"Iced Coffee, Brewed",1.0,0.09,0.0,0.02,0.0,Coffee,beverages,36.0,0.0,18.0,9.0,0.09,0.0,2.0,0.0,0.0
"Iced Coffee, Pre-Lightened And Pre-Sweetened",31.0,0.25,4.94,1.12,0.0,Coffee,beverages,3.23,63.74,32.52,0.81,0.01,4.95,6.0,0.58,3.0
Iced Tea / Lemonade Juice Drink,34.0,0.2,9.15,0.05,0.3,Tea,beverages,2.35,100.0,1.32,1.47,0.01,7.2,12.0,0.01,0.0
"Iced Tea / Lemonade Juice Drink, Diet",2.0,0.0,0.57,0.0,0.0,Tea,beverages,0.0,100.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
"Iced Tea / Lemonade Juice Drink, Light",21.0,0.22,6.12,0.04,0.3,Tea,beverages,4.19,100.0,1.71,2.48,0.01,3.86,13.0,0.01,0.0
Licuado Or Batido,75.0,2.33,13.15,1.45,0.6,Smoothies and grain drinks,beverages,12.43,70.13,17.4,3.91,0.03,11.48,25.0,0.81,6.0
Mixed Vegetable Juice,28.0,0.72,6.3,0.16,1.2,Vegetable juice,beverages,10.29,90.0,5.14,6.86,0.03,2.62,82.0,0.03,0.0
"Nutritional Drink Or Shake, High Protein, Light, Ready-To-Drink,",138.0,5.38,17.29,5.38,1.2,Nutritional beverages,beverages,15.59,50.12,35.09,4.77,0.04,8.46,77.0,0.42,4.0
"Nutritional Drink Or Shake, High Protein, Ready-To-Drink (Slim Fast)",61.0,6.59,0.85,3.38,0.4,Nutritional beverages,beverages,43.21,5.57,49.87,10.0,0.11,0.6,72.0,0.51,4.0
"Nutritional Drink Or Shake, High Protein, Ready-To-Drink,",61.0,6.59,0.85,3.38,0.4,Nutritional beverages,beverages,43.21,5.57,49.87,10.0,0.11,0.6,72.0,0.51,4.0
"Nutritional Drink Or Shake, Liquid, Soy-Based",138.0,5.38,17.29,5.38,1.2,Nutritional beverages,beverages,15.59,50.12,35.09,4.77,0.04,8.46,77.0,0.42,4.0
"Nutritional Drink Or Shake, Ready-To-Drink (Boost Plus)",138.0,5.38,17.29,5.38,1.2,Nutritional beverages,beverages,15.59,50.12,35.09,4.77,0.04,8.46,77.0,0.42,4.0
"Nutritional Drink Or Shake, Ready-To-Drink (Boost)",101.0,4.22,17.3,1.69,1.3,Nutritional beverages,beverages,16.71,68.51,15.06,5.47,0.04,8.44,63.0,0.42,4.0
"Nutritional Drink Or Shake, Ready-To-Drink (Carnation Instant Breakfast)",92.0,5.51,12.91,2.04,0.1,Nutritional beverages,beverages,23.96,56.13,19.96,6.1,0.06,12.9,84.0,1.16,9.0
"Nutritional Drink Or Shake, Ready-To-Drink (Ensure Plus)",141.0,5.16,19.88,4.52,0.0,Nutritional beverages,beverages,14.64,56.4,28.85,3.66,0.04,8.33,95.0,0.57,2.0
"Nutritional Drink Or Shake, Ready-To-Drink (Ensure)",105.0,3.8,16.88,2.53,0.0,Nutritional beverages,beverages,14.48,64.3,21.69,3.62,0.04,9.7,84.0,0.42,2.0
"Nutritional Drink Or Shake, Ready-To-Drink (Muscle Milk)",52.0,5.87,2.28,2.17,0.2,Nutritional beverages,beverages,45.15,17.54,37.56,10.0,0.11,0.78,95.0,0.36,2.0
"Nutritional Drink Or Shake, Ready-To-Drink (Slim Fast)",57.0,3.32,7.74,1.93,1.6,Nutritional beverages,beverages,23.3,54.32,30.47,8.63,0.06,5.95,68.0,0.54,3.0
"Nutritional Drink Or Shake, Ready-To-Drink,",105.0,3.8,16.88,2.53,0.0,Nutritional beverages,beverages,14.48,64.3,21.69,3.62,0.04,9.7,84.0,0.42,2.0
"Nutritional Drink Or Shake, Ready-To-Drink, Light (Muscle Milk)",38.0,4.78,2.1,1.15,0.2,Nutritional beverages,beverages,50.32,22.11,27.24,10.0,0.13,0.38,27.0,0.1,1.0
"Nutritional Drink Or Shake, Ready-To-Drink, Sugar Free (Glucerna)",88.0,4.4,11.88,3.08,2.2,Nutritional beverages,beverages,20.0,54.0,31.5,7.5,0.05,2.64,92.0,0.23,2.0
"Nutritional Drink Or Shake, Ready-To-Drink, Sugar Free (Slim Fast)",57.0,3.32,7.74,1.93,1.6,Nutritional beverages,beverages,23.3,54.32,30.47,8.63,0.06,5.95,68.0,0.54,3.0
"Slush Frozen Drink, No Sugar Added",11.0,0.0,3.11,0.01,0.0,Other diet drinks,beverages,0.0,100.0,0.82,0.0,0.0,3.11,5.0,0.0,0.0
"Soft Drink,",42.0,0.0,10.36,0.25,0.0,Soft drinks,beverages,0.0,98.67,5.36,0.0,0.0,9.94,3.0,0.0,0.0
"Soft Drink, , Diet",2.0,0.11,0.29,0.03,0.0,Diet soft drinks,beverages,22.0,58.0,13.5,5.5,0.06,0.0,8.0,0.0,0.0
"Soft Drink, Chocolate Flavored",42.0,0.0,10.7,0.0,0.0,Soft drinks,beverages,0.0,100.0,0.0,0.0,0.0,10.7,4.0,0.0,0.0
"Soft Drink, Chocolate Flavored, Diet",2.0,0.11,0.29,0.03,0.0,Diet soft drinks,beverages,22.0,58.0,13.5,5.5,0.06,0.0,8.0,0.0,0.0
"Soft Drink, Cola",42.0,0.0,10.36,0.25,0.0,Soft drinks,beverages,0.0,98.67,5.36,0.0,0.0,9.94,3.0,0.0,0.0
"Soft Drink, Cola, Chocolate Flavored",42.0,0.0,10.36,0.25,0.0,Soft drinks,beverages,0.0,98.67,5.36,0.0,0.0,9.94,3.0,0.0,0.0
"Soft Drink, Cola, Chocolate Flavored, Diet",2.0,0.11,0.29,0.03,0.0,Diet soft drinks,beverages,22.0,58.0,13.5,5.5,0.06,0.0,8.0,0.0,0.0
"Soft Drink, Cola, Decaffeinated",41.0,0.0,10.58,0.0,0.0,Soft drinks,beverages,0.0,100.0,0.0,0.0,0.0,10.58,4.0,0.0,0.0
"Soft Drink, Cola, Decaffeinated, Diet",1.0,0.12,0.12,0.0,0.0,Diet soft drinks,beverages,48.0,48.0,0.0,10.0,0.12,0.0,4.0,0.0,0.0
"Soft Drink, Cola, Diet",2.0,0.11,0.29,0.03,0.0,Diet soft drinks,beverages,22.0,58.0,13.5,5.5,0.06,0.0,8.0,0.0,0.0
"Soft Drink, Cola, Fruit Or Vanilla Flavored",42.0,0.0,10.36,0.25,0.0,Soft drinks,beverages,0.0,98.67,5.36,0.0,0.0,9.94,3.0,0.0,0.0
"Soft Drink, Cola, Fruit Or Vanilla Flavored, Diet",2.0,0.11,0.29,0.03,0.0,Diet soft drinks,beverages,22.0,58.0,13.5,5.5,0.06,0.0,8.0,0.0,0.0
"Soft Drink, Cream Soda",51.0,0.0,13.3,0.0,0.0,Soft drinks,beverages,0.0,100.0,0.0,0.0,0.0,13.3,12.0,0.0,0.0
"Soft Drink, Fruit Flavored, Caffeine Containing",49.0,0.0,12.83,0.0,0.0,Soft drinks,beverages,0.0,100.0,0.0,0.0,0.0,12.9,18.0,0.0,0.0
"Soft Drink, Fruit Flavored, Caffeine Free",40.0,0.05,10.14,0.02,0.0,Soft drinks,beverages,0.5,100.0,0.45,0.12,0.0,8.98,9.0,0.0,0.0
"Soft Drink, Ginger Ale",34.0,0.0,8.76,0.0,0.0,Soft drinks,beverages,0.0,100.0,0.0,0.0,0.0,8.9,7.0,0.0,0.0
"Soft Drink, Pepper Type",42.0,0.0,10.36,0.25,0.0,Soft drinks,beverages,0.0,98.67,5.36,0.0,0.0,9.94,3.0,0.0,0.0
"Soft Drink, Pepper Type, Decaffeinated",41.0,0.0,10.58,0.0,0.0,Soft drinks,beverages,0.0,100.0,0.0,0.0,0.0,10.58,4.0,0.0,0.0
"Soft Drink, Pepper Type, Decaffeinated, Diet",1.0,0.12,0.12,0.0,0.0,Diet soft drinks,beverages,48.0,48.0,0.0,10.0,0.12,0.0,4.0,0.0,0.0
"Soft Drink, Pepper Type, Diet",2.0,0.11,0.29,0.03,0.0,Diet soft drinks,beverages,22.0,58.0,13.5,5.5,0.06,0.0,8.0,0.0,0.0
"Soft Drink, Root Beer",41.0,0.0,10.6,0.0,0.0,Soft drinks,beverages,0.0,100.0,0.0,0.0,0.0,10.6,13.0,0.0,0.0
Sports Drink (Gatorade G),26.0,0.0,6.43,0.0,0.0,Sport and energy drinks,beverages,0.0,98.92,0.0,0.0,0.0,5.24,39.0,0.0,0.0
Sports Drink (Powerade),32.0,0.0,7.84,0.05,0.0,Sport and energy drinks,beverages,0.0,98.0,1.41,0.0,0.0,6.11,42.0,0.01,0.0
"Sports Drink,",26.0,0.0,6.43,0.0,0.0,Sport and energy drinks,beverages,0.0,98.92,0.0,0.0,0.0,5.24,39.0,0.0,0.0
"Sports Drink, Low Calorie",8.0,0.05,1.94,0.01,0.0,Diet sport and energy drinks,beverages,2.5,97.0,1.12,0.62,0.01,1.3,45.0,0.0,0.0
"Sports Drink, Low Calorie (Gatorade G2)",8.0,0.05,1.94,0.01,0.0,Diet sport and energy drinks,beverages,2.5,97.0,1.12,0.62,0.01,1.3,45.0,0.0,0.0
"Tea, Bubble",55.0,0.39,10.35,1.39,0.1,Tea,beverages,2.84,75.27,22.75,0.89,0.01,3.5,9.0,0.84,4.0
"Tea, Ginger",1.0,0.02,0.18,0.01,0.0,Tea,beverages,8.0,72.0,9.0,2.0,0.02,0.02,4.0,0.0,0.0
"Tea, Hot, Chamomile",1.0,0.0,0.2,0.0,0.0,Tea,beverages,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Tea, Hot, Herbal",1.0,0.0,0.2,0.0,0.0,Tea,beverages,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Tea, Hot, Leaf, Black",1.0,0.0,0.3,0.0,0.0,Tea,beverages,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
"Tea, Hot, Leaf, Black, Decaffeinated",1.0,0.0,0.3,0.0,0.0,Tea,beverages,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
"Tea, Hot, Leaf, Green",1.0,0.22,0.0,0.0,0.0,Tea,beverages,88.0,0.0,0.0,10.0,0.22,0.0,1.0,0.0,0.0
"Tea, Hot, Leaf, Oolong",1.0,0.0,0.15,0.0,0.0,Tea,beverages,0.0,60.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
"Tea, Hot, With Milk",51.0,1.58,8.95,1.05,0.1,Tea,beverages,12.39,70.2,18.53,3.29,0.03,8.72,20.0,0.6,4.0
"Tea, Iced, Bottled, Black",45.0,0.0,10.8,0.22,0.0,Tea,beverages,0.0,96.0,4.4,0.0,0.0,9.49,3.0,0.0,0.0
"Tea, Iced, Bottled, Black, Decaffeinated",38.0,0.0,8.75,0.0,0.0,Tea,beverages,0.0,92.11,0.0,0.0,0.0,7.92,8.0,0.0,0.0
"Tea, Iced, Bottled, Black, Decaffeinated, Unsweetened",1.0,0.0,0.3,0.0,0.0,Tea,beverages,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
"Tea, Iced, Bottled, Black, Diet",1.0,0.0,0.22,0.0,0.0,Tea,beverages,0.0,88.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
"Tea, Iced, Bottled, Green",27.0,0.0,6.2,0.22,0.0,Tea,beverages,0.0,91.85,7.33,0.0,0.0,5.32,21.0,0.0,0.0
"Tea, Iced, Bottled, Green, Diet",4.0,0.0,0.93,0.0,0.0,Tea,beverages,0.0,93.0,0.0,0.0,0.0,0.93,6.0,0.0,0.0
"Tea, Iced, Brewed, Black, Decaffeinated, Pre-Sweetened With Low Calorie Sweetener",2.0,0.0,0.68,0.0,0.0,Tea,beverages,0.0,100.0,0.0,0.0,0.0,0.33,3.0,0.0,0.0
"Tea, Iced, Brewed, Black, Decaffeinated, Pre-Sweetened With Sugar",32.0,0.0,7.94,0.02,0.0,Tea,beverages,0.0,99.25,0.56,0.0,0.0,7.68,3.0,0.0,0.0
"Tea, Iced, Brewed, Black, Decaffeinated, Unsweetened",1.0,0.0,0.3,0.0,0.0,Tea,beverages,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
"Tea, Iced, Brewed, Black, Pre-Sweetened With Low Calorie Sweetener",2.0,0.0,0.68,0.0,0.0,Tea,beverages,0.0,100.0,0.0,0.0,0.0,0.33,3.0,0.0,0.0
"Tea, Iced, Brewed, Black, Pre-Sweetened With Sugar",32.0,0.0,7.94,0.02,0.0,Tea,beverages,0.0,99.25,0.56,0.0,0.0,7.68,3.0,0.0,0.0
"Tea, Iced, Brewed, Black, Unsweetened",1.0,0.0,0.3,0.0,0.0,Tea,beverages,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
"Tea, Iced, Brewed, Green, Decaffeinated, Pre-Sweetened With Low Calorie Sweetener",1.0,0.0,0.38,0.0,0.0,Tea,beverages,0.0,100.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0
"Tea, Iced, Brewed, Green, Decaffeinated, Pre-Sweetened With Sugar",31.0,0.0,7.66,0.02,0.0,Tea,beverages,0.0,98.84,0.58,0.0,0.0,7.68,0.0,0.0,0.0
"Tea, Iced, Brewed, Green, Pre-Sweetened With Low Calorie Sweetener",2.0,0.22,0.38,0.0,0.0,Tea,beverages,44.0,76.0,0.0,10.0,0.11,0.33,1.0,0.0,0.0
"Tea, Iced, Brewed, Green, Pre-Sweetened With Sugar",32.0,0.2,7.66,0.02,0.0,Tea,beverages,2.5,95.75,0.56,0.62,0.01,7.68,1.0,0.0,0.0
"Tea, Iced, Brewed, Green, Unsweetened",1.0,0.22,0.0,0.0,0.0,Tea,beverages,88.0,0.0,0.0,10.0,0.22,0.0,1.0,0.0,0.0
"Tea, Iced, Instant, Black, Decaffeinated, Pre-Sweetened With Low Calorie Sweetener",3.0,0.03,0.72,0.0,0.0,Tea,beverages,4.0,96.0,0.0,1.0,0.01,0.02,7.0,0.0,0.0
"Tea, Iced, Instant, Black, Decaffeinated, Pre-Sweetened With Sugar",32.0,0.06,7.89,0.02,0.0,Tea,beverages,0.75,98.62,0.56,0.19,0.0,7.76,4.0,0.0,0.0
"Tea, Iced, Instant, Black, Decaffeinated, Unsweetened",1.0,0.06,0.17,0.0,0.0,Tea,beverages,24.0,68.0,0.0,6.0,0.06,0.02,4.0,0.0,0.0
"Tea, Iced, Instant, Black, Pre-Sweetened With Low Calorie Sweetener",2.0,0.02,0.44,0.0,0.0,Tea,beverages,4.0,88.0,0.0,1.0,0.01,0.01,6.0,0.0,0.0
"Tea, Iced, Instant, Black, Pre-Sweetened With Sugar",30.0,0.01,7.31,0.05,0.1,Tea,beverages,0.13,97.47,1.5,0.37,0.0,7.07,4.0,0.01,0.0
"Tea, Iced, Instant, Black, Unsweetened",1.0,0.02,0.23,0.0,0.0,Tea,beverages,8.0,92.0,0.0,2.0,0.02,0.01,4.0,0.0,0.0
"Tea, Iced, Instant, Green, Pre-Sweetened With Low Calorie Sweetener",4.0,0.0,0.93,0.0,0.0,Tea,beverages,0.0,93.0,0.0,0.0,0.0,0.93,6.0,0.0,0.0
"Tea, Iced, Instant, Green, Pre-Sweetened With Sugar",27.0,0.0,6.2,0.22,0.0,Tea,beverages,0.0,91.85,7.33,0.0,0.0,5.32,21.0,0.0,0.0
"Tea, Kombucha",16.0,0.1,3.98,0.01,0.0,Tea,beverages,2.5,99.5,0.56,0.62,0.01,3.99,2.0,0.0,0.0
"Tomato And Vegetable Juice, 100%",22.0,0.93,3.87,0.31,0.5,Vegetable juice,beverages,16.91,70.36,12.68,6.5,0.04,2.84,169.0,0.09,0.0
"Tomato And Vegetable Juice, 100%, Low Sodium",22.0,0.6,4.59,0.1,0.8,Vegetable juice,beverages,10.91,83.45,4.09,6.36,0.03,3.28,58.0,0.01,0.0
Tomato Juice Cocktail,22.0,0.93,3.87,0.31,0.5,Vegetable juice,beverages,16.91,70.36,12.68,6.5,0.04,2.84,169.0,0.09,0.0
"Tomato Juice, 100%",23.0,0.86,4.32,0.29,0.4,Vegetable juice,beverages,14.96,75.13,11.35,5.48,0.04,2.57,236.0,0.02,0.0
"Tomato Juice, 100%, Low Sodium",23.0,0.86,4.32,0.29,0.4,Vegetable juice,beverages,14.96,75.13,11.35,5.48,0.04,2.57,58.0,0.02,0.0
"Vegetable And Fruit Juice Drink, With High Vitamin C, Diet",4.0,0.0,1.1,0.0,0.0,Other diet drinks,beverages,0.0,100.0,0.0,0.0,0.0,0.63,14.0,0.0,0.0
Vegetable Smoothie,89.0,2.75,5.84,6.63,2.8,Smoothies and grain drinks,beverages,12.36,26.25,67.04,6.24,0.03,2.57,38.0,1.39,4.0
"Water Beverage, Fruit Flavored",18.0,0.0,4.5,0.0,0.0,Flavored or carbonated water,beverages,0.0,100.0,0.0,0.0,0.0,4.5,8.0,0.0,0.0
"Water, Enhanced, Regular",22.0,0.0,5.49,0.0,0.0,Enhanced water,beverages,0.0,99.82,0.0,0.0,0.0,5.49,0.0,0.0,0.0
"Water, Non-Carbonated, Flavored",1.0,0.0,0.13,0.0,0.0,Flavored or carbonated water,beverages,0.0,52.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
"Water, Tonic",34.0,0.0,8.8,0.0,0.0,Flavored or carbonated water,beverages,0.0,100.0,0.0,0.0,0.0,8.8,12.0,0.0,0.0
Baked Beans,105.0,4.52,21.57,0.89,4.4,"Beans, peas, legumes",complex_carbs,17.22,82.17,7.63,8.5,0.04,8.23,391.0,0.23,7.0
Baked Beans From Fast Food / Restaurant,116.0,4.38,23.29,1.35,4.3,"Beans, peas, legumes",complex_carbs,15.1,80.31,10.47,7.48,0.04,10.38,491.0,0.29,7.0
"Baked Beans, Reduced Sodium",104.0,4.77,20.35,0.4,5.5,"Beans, peas, legumes",complex_carbs,18.35,78.27,3.46,9.88,0.05,7.73,270.0,0.1,0.0
"Baked Beans, Vegetarian",94.0,4.75,21.14,0.37,4.1,"Beans, peas, legumes",complex_carbs,20.21,89.96,3.54,9.41,0.05,7.96,343.0,0.07,0.0
Beans And Franks,138.0,6.74,17.29,5.22,3.3,"Beans, peas, legumes",complex_carbs,19.54,50.12,34.04,7.28,0.05,6.17,438.0,2.08,19.0
"Beans And Tomatoes, Fat Added",142.0,6.05,17.84,5.58,6.1,"Beans, peas, legumes",complex_carbs,17.04,50.25,35.37,8.56,0.04,1.32,351.0,0.78,0.0
"Beans And Tomatoes, No Added Fat",101.0,6.37,18.76,0.51,6.4,"Beans, peas, legumes",complex_carbs,25.23,74.3,4.54,10.0,0.06,1.39,370.0,0.1,0.0
"Beans With Meat, As To Type",184.0,10.7,20.56,6.88,7.1,"Beans, peas, legumes",complex_carbs,23.26,44.7,33.65,9.67,0.06,0.38,275.0,1.15,11.0
"Beans,",189.0,8.34,23.78,7.08,8.3,"Beans, peas, legumes",complex_carbs,17.65,50.33,33.71,8.8,0.04,0.31,217.0,1.0,0.0
"Beans, From Canned, As To Type, Fat Added",185.0,7.66,24.1,6.83,8.0,"Beans, peas, legumes",complex_carbs,16.56,52.11,33.23,8.46,0.04,1.31,311.0,0.98,0.0
"Beans, From Canned, As To Type, No Added Fat",136.0,7.96,25.04,0.81,8.3,"Beans, peas, legumes",complex_carbs,23.41,73.65,5.36,10.0,0.06,1.36,323.0,0.17,0.0
"Beans, From Dried, As To Type, Fat Added",189.0,8.34,23.78,7.08,8.3,"Beans, peas, legumes",complex_carbs,17.65,50.33,33.71,8.8,0.04,0.31,217.0,1.0,0.0
"Beans, From Dried, As To Type, No Added Fat",139.0,8.92,25.44,0.62,8.9,"Beans, peas, legumes",complex_carbs,25.67,73.21,4.01,10.0,0.06,0.33,232.0,0.14,0.0
"Beans, From Fast Food / Restaurant, As To Type",206.0,8.77,22.6,9.32,5.7,"Beans, peas, legumes",complex_carbs,17.03,43.88,40.72,7.02,0.04,0.31,354.0,1.29,0.0
Black Beans With Meat,177.0,10.61,19.06,6.81,7.0,"Beans, peas, legumes",complex_carbs,23.98,43.07,34.63,9.95,0.06,0.36,275.0,1.16,11.0
"Black Beans,",181.0,8.23,22.04,7.01,8.1,"Beans, peas, legumes",complex_carbs,18.19,48.71,34.86,9.02,0.05,0.3,217.0,1.0,0.0
"Black Beans, From Canned, Fat Added",178.0,8.54,23.43,5.92,9.8,"Beans, peas, legumes",complex_carbs,19.19,52.65,29.93,10.0,0.05,0.33,335.0,0.84,0.0
"Black Beans, From Canned, No Added Fat",134.0,8.87,24.34,0.43,10.1,"Beans, peas, legumes",complex_carbs,26.48,72.66,2.89,10.0,0.07,0.34,348.0,0.11,0.0
"Black Beans, From Canned, Reduced Sodium",178.0,8.54,23.43,5.92,9.8,"Beans, peas, legumes",complex_carbs,19.19,52.65,29.93,10.0,0.05,0.33,195.0,0.84,0.0
"Black Beans, From Dried, Fat Added",181.0,8.23,22.04,7.01,8.1,"Beans, peas, legumes",complex_carbs,18.19,48.71,34.86,9.02,0.05,0.3,217.0,1.0,0.0
"Black Beans, From Dried, No Added Fat",131.0,8.81,23.57,0.54,8.6,"Beans, peas, legumes",complex_carbs,26.9,71.97,3.71,10.0,0.07,0.32,232.0,0.14,0.0
"Black Beans, From Fast Food / Restaurant",200.0,7.98,21.36,9.49,7.8,"Beans, peas, legumes",complex_carbs,15.96,42.72,42.7,7.89,0.04,0.29,350.0,1.33,0.0
"Blackeyed Peas,",166.0,7.18,19.29,7.0,6.0,"Beans, peas, legumes",complex_carbs,17.3,46.48,37.95,7.94,0.04,3.07,220.0,1.0,0.0
"Blackeyed Peas, From Dried",166.0,7.18,19.29,7.0,6.0,"Beans, peas, legumes",complex_carbs,17.3,46.48,37.95,7.94,0.04,3.07,220.0,1.0,0.0
"Chickpeas,",211.0,8.23,25.48,8.91,7.1,"Beans, peas, legumes",complex_carbs,15.6,48.3,38.0,7.27,0.04,4.46,222.0,1.12,0.0
"Chickpeas, From Canned, Fat Added",197.0,7.88,21.61,9.35,7.0,"Beans, peas, legumes",complex_carbs,16.0,43.88,42.72,7.55,0.04,4.15,315.0,1.16,0.0
"Chickpeas, From Canned, No Added Fat",146.0,8.19,22.45,3.24,7.3,"Beans, peas, legumes",complex_carbs,22.44,61.51,19.97,10.0,0.06,4.31,327.0,0.34,0.0
"Chickpeas, From Canned, Reduced Sodium",197.0,7.89,21.64,9.37,7.1,"Beans, peas, legumes",complex_carbs,16.02,43.94,42.81,7.61,0.04,4.16,212.0,1.16,0.0
"Chickpeas, From Dried, Fat Added",211.0,8.23,25.48,8.91,7.1,"Beans, peas, legumes",complex_carbs,15.6,48.3,38.0,7.27,0.04,4.46,222.0,1.12,0.0
"Chickpeas, From Dried, No Added Fat",163.0,8.81,27.26,2.58,7.6,"Beans, peas, legumes",complex_carbs,21.62,66.9,14.25,10.0,0.05,4.77,238.0,0.27,0.0
Dal,145.0,8.6,19.17,4.31,7.5,"Beans, peas, legumes",complex_carbs,23.72,52.88,26.75,10.0,0.06,1.71,309.0,2.51,10.0
"Edamame, Cooked",140.0,11.54,8.63,7.58,5.0,"Beans, peas, legumes",complex_carbs,32.97,24.66,48.73,10.0,0.08,2.12,127.0,1.27,2.0
"Fava Beans, Cooked",161.0,7.06,18.26,6.88,5.0,"Beans, peas, legumes",complex_carbs,17.54,45.37,38.46,7.49,0.04,1.69,220.0,0.93,0.0
"Green Beans, As To Form, Cooked",55.0,1.51,5.74,2.93,2.4,String beans,complex_carbs,10.98,41.75,47.95,7.11,0.03,1.81,204.0,0.75,2.0
"Green Beans, Canned, Cooked With Butter Or Margarine",43.0,1.03,4.0,2.57,1.8,String beans,complex_carbs,9.58,37.21,53.79,6.58,0.02,1.26,291.0,1.04,4.0
"Green Beans, Canned, Cooked With Oil",50.0,1.01,3.99,3.29,1.8,String beans,complex_carbs,8.08,31.92,59.22,5.62,0.02,1.25,274.0,0.48,0.0
"Green Beans, Canned, Cooked, Fat Added, As To Fat Type",46.0,1.02,4.0,2.93,1.8,String beans,complex_carbs,8.87,34.78,57.33,6.13,0.02,1.26,282.0,0.76,2.0
"Green Beans, Canned, Cooked, No Added Fat",24.0,1.04,4.11,0.39,1.9,String beans,complex_carbs,17.33,68.5,14.63,10.0,0.04,1.29,282.0,0.09,0.0
"Green Beans, Canned, Reduced Sodium, Cooked With Butter Or Margarine",41.0,1.1,4.2,2.64,1.8,String beans,complex_carbs,10.73,40.98,57.95,7.07,0.03,0.77,19.0,1.05,4.0
"Green Beans, Canned, Reduced Sodium, Cooked With Oil",48.0,1.09,4.19,3.36,1.8,String beans,complex_carbs,9.08,34.92,63.0,6.02,0.02,0.76,2.0,0.49,0.0
"Green Beans, Canned, Reduced Sodium, Cooked, Fat Added, As To Fat Type",44.0,1.1,4.2,3.0,1.8,String beans,complex_carbs,10.0,38.18,61.36,6.59,0.02,0.76,11.0,0.77,2.0
"Green Beans, Canned, Reduced Sodium, Cooked, No Added Fat",22.0,1.12,4.32,0.46,1.9,String beans,complex_carbs,20.36,78.55,18.82,10.0,0.05,0.78,2.0,0.1,0.0
"Green Beans, Cooked, From Restaurant",78.0,1.96,7.32,4.6,3.0,String beans,complex_carbs,10.05,37.54,53.08,6.36,0.03,2.31,206.0,1.18,3.0
"Green Beans, Fresh, Cooked With Butter Or Margarine",61.0,2.0,7.48,2.56,3.0,String beans,complex_carbs,13.11,49.05,37.77,8.2,0.03,2.36,135.0,1.03,4.0
"Green Beans, Fresh, Cooked With Oil",68.0,1.99,7.47,3.31,3.0,String beans,complex_carbs,11.71,43.94,43.81,7.34,0.03,2.35,117.0,0.46,0.0
"Green Beans, Fresh, Cooked, Fat Added, As To Fat Type",64.0,2.0,7.48,2.93,3.0,String beans,complex_carbs,12.5,46.75,41.2,7.81,0.03,2.36,126.0,0.74,2.0
"Green Beans, Fresh, Cooked, No Added Fat",42.0,2.05,7.7,0.29,3.1,String beans,complex_carbs,19.52,73.33,6.21,10.0,0.05,2.42,121.0,0.05,0.0
"Green Beans, Frozen, Cooked With Butter Or Margarine",47.0,1.46,6.26,2.35,2.9,String beans,complex_carbs,12.43,53.28,45.0,9.28,0.03,1.83,131.0,0.99,4.0
