Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Chicken Or Turkey, Noodles, And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; Cheese Sauce",vegetables,145.0,8.9,14.16,5.97,1.1,0.74,346.0,4,5,8,0,0,7,"pre_workout, lunch, dinner, snack",150-200g,10.97,6.9,0.06,Poultry mixed dishes,other,24.55,39.06,37.06,2.62,39.0,17
"Chicken Or Turkey And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; No Potatoes, No Sauce",vegetables,123.0,8.72,5.08,7.96,1.1,0.98,379.0,4,5,7,0,0,7,"lunch, dinner, snack",150-200g,10.894,7.98,0.07,Poultry mixed dishes,other,28.36,16.52,58.24,1.29,33.0,16
Sausage With Tomato-Based Sauce,vegetables,234.0,13.28,2.58,19.09,0.4,1.82,863.0,4,6,6,1,2,6,"lunch, dinner",150-200g,10.855,5.85,0.06,Meat mixed dishes,other,22.7,4.41,73.42,6.17,60.0,16
"Chicken Or Turkey Garden Salad, Chicken And/Or Turkey, Tomato And/Or Carrots, Other Vegetables, No Dressing",vegetables,64.0,10.1,3.04,1.33,1.0,1.27,136.0,7,3,4,0,0,7,"lunch, dinner, snack",150-200g,10.700000000000001,10.0,0.16,Poultry mixed dishes,other,63.12,19.0,18.7,0.31,29.0,14
"Taro Leaves, Cooked",vegetables,68.0,5.19,6.98,3.51,3.9,3.14,133.0,7,1,6,0,0,7,"lunch, dinner, snack",150-200g,10.700000000000001,10.0,0.08,Other dark green vegetables,vegetables,30.53,41.06,46.46,0.87,2.0,14
"Chicken Or Turkey Garden Salad, Chicken And/Or Turkey, Other Vegetables Excluding Tomato And Carrots, No Dressing",vegetables,66.0,10.85,2.62,1.41,0.8,0.99,140.0,7,3,4,0,0,7,"lunch, dinner, snack",150-200g,10.700000000000001,10.0,0.16,Poultry mixed dishes,other,65.76,15.88,19.23,0.34,31.0,14
"Chicken Or Turkey Garden Salad With Cheese, Chicken And/Or Turkey, Cheese, Lettuce And/Or Greens, Tomato And/Or Carrots, Other Vegetables, No Dressing",vegetables,93.0,10.26,3.02,4.52,0.9,1.12,176.0,7,3,4,0,0,7,"lunch, dinner, snack",150-200g,10.700000000000001,10.0,0.11,Poultry mixed dishes,other,44.13,12.99,43.74,2.2,32.0,14
Pork With Chili And Tomatoes,vegetables,95.0,11.64,2.68,3.99,0.9,1.63,118.0,7,3,4,0,0,7,"lunch, dinner, snack",150-200g,10.700000000000001,10.0,0.12,Meat mixed dishes,other,49.01,11.28,37.8,1.4,32.0,14
"Soup, Lentil, With Meat",vegetables,78.0,5.94,8.76,2.3,3.2,1.43,249.0,7,1,6,0,0,7,"lunch, dinner, snack",150-200g,10.700000000000001,10.0,0.08,"Soups, broth-based",other,30.46,44.92,26.54,0.73,9.0,14
"Soup, Split Pea, With Meat",vegetables,80.0,5.57,9.1,2.42,3.3,1.81,248.0,7,1,6,0,0,7,"lunch, dinner, snack",150-200g,10.700000000000001,10.0,0.07,"Soups, broth-based",other,27.85,45.5,27.22,0.74,10.0,14
