Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
Sunflower Oil,healthy_fats,900.0,0.0,0.0,100.0,0.0,0.0,0.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,8.99,0.0,8
"Vegetable Oil,",healthy_fats,900.0,0.0,0.0,100.0,0.0,0.0,0.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,13.37,0.0,8
Walnut Oil,healthy_fats,884.0,0.0,0.0,100.0,0.0,0.0,0.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,9.1,0.0,8
Wheat Germ Oil,healthy_fats,884.0,0.0,0.0,100.0,0.0,0.0,0.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,18.8,0.0,8
Sesame Oil,healthy_fats,884.0,0.0,0.0,100.0,0.0,0.0,0.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,14.2,0.0,8
Canola Oil,healthy_fats,900.0,0.0,0.0,100.0,0.0,0.0,0.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,6.61,0.0,8
Industrial Oil As Ingredient In Food,healthy_fats,892.0,0.0,0.0,100.0,0.0,0.0,0.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Not included in a food category,other,0.0,0.0,100.0,32.67,0.0,8
Lard,healthy_fats,902.0,0.0,0.0,100.0,0.0,0.0,0.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Butter and animal fats,other,0.0,0.0,99.78,39.2,95.0,8
Avocado Dressing,healthy_fats,427.0,1.9,7.36,43.33,0.1,6.67,867.0,0,5,0,7,3,0,flexible,30-50g,5.141,0.47,0.0,Salad dressings and vegetable oils,healthy_fats,1.78,6.89,91.33,5.98,40.0,5
"Mayonnaise, Reduced-Fat, With Olive Oil",healthy_fats,361.0,0.37,0.0,40.0,0.0,0.0,800.0,0,5,0,7,3,0,flexible,30-50g,5.029999999999999,0.1,0.0,Mayonnaise,other,0.41,0.0,99.72,5.37,33.0,5
