Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Yogurt,",weight_loss_friendly,94.0,6.67,10.22,2.87,0.1,8.05,49.0,5,1,4,0,0,7,"pre_workout, snack",100g,8.26,7.2,0.07,"Yogurt, regular",dairy_proteins,28.38,43.49,27.48,1.63,11.0,10
"Soup, Noodle,",weight_loss_friendly,90.0,5.48,10.08,2.99,0.8,0.62,290.0,5,1,4,0,0,7,"pre_workout, snack",100g,8.193999999999999,6.98,0.06,"Soups, broth-based",other,24.36,44.8,29.9,0.69,35.0,10
"Nutritional Drink Or Shake, Ready-To-Drink (Carnation Instant Breakfast)",weight_loss_friendly,92.0,5.51,12.91,2.04,0.1,12.9,84.0,5,1,4,0,0,7,"pre_workout, snack",100g,7.93,6.1,0.06,Nutritional beverages,beverages,23.96,56.13,19.96,1.16,9.0,10
Spaghetti Sauce With Seafood,weight_loss_friendly,64.0,5.33,7.09,1.48,1.5,4.47,432.0,4,0,3,0,0,7,snack,100g,7.9,10.0,0.08,"Pasta sauces, tomato-based",quick_carbs,33.31,44.31,20.81,0.18,30.0,7
Spaghetti Sauce With Poultry,weight_loss_friendly,75.0,6.29,6.54,2.62,1.5,4.47,410.0,4,0,3,0,0,7,snack,100g,7.9,10.0,0.08,"Pasta sauces, tomato-based",quick_carbs,33.55,34.88,31.44,0.5,19.0,7
"Soup, Pho, With Meat",weight_loss_friendly,77.0,5.81,5.6,3.33,0.4,0.46,365.0,4,1,3,0,0,7,snack,100g,7.718,8.06,0.08,Ramen and Asian broth-based soups,other,30.18,29.09,38.92,1.28,18.0,8
Custard,weight_loss_friendly,97.0,5.08,10.97,3.64,0.0,10.89,84.0,5,1,4,0,0,7,"pre_workout, snack",100g,7.672000000000001,5.24,0.05,Pudding,other,20.95,45.24,33.77,1.65,80.0,10
"Bibimbap, Korean",weight_loss_friendly,76.0,5.5,8.11,2.44,1.1,1.52,435.0,4,0,3,0,0,7,snack,100g,7.504,8.68,0.07,Rice mixed dishes,other,28.95,42.68,28.89,0.49,10.0,7
Spaghetti Sauce With Meat,weight_loss_friendly,90.0,5.94,6.54,4.36,1.5,4.47,412.0,4,0,3,0,0,7,snack,100g,7.381,8.27,0.07,"Pasta sauces, tomato-based",quick_carbs,26.4,29.07,43.6,1.35,18.0,7
"Shrimp And Vegetables In Sauce With Noodles, Diet Frozen Meal",weight_loss_friendly,91.0,5.29,13.45,1.72,1.5,1.87,456.0,4,0,3,0,0,7,"pre_workout, snack",100g,7.138,7.46,0.06,Seafood mixed dishes,lean_proteins,23.25,59.12,17.01,0.49,37.0,7
