Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
Tabbouleh,balanced_foods,127.0,1.64,9.65,9.66,1.8,1.34,495.0,4,2,5,1,0,3,"lunch, dinner",100g,6.413,2.71,0.01,Turnovers and other grain-based items,other,5.17,30.39,68.46,1.5,0.0,11
"Soup, Beef, Canned",balanced_foods,37.0,1.94,4.86,1.17,0.9,1.23,266.0,5,1,2,0,0,3,"lunch, dinner",100g,6.404,7.68,0.05,"Soups, broth-based",other,20.97,52.54,28.46,0.37,4.0,8
"Soup, Barley",balanced_foods,58.0,3.34,6.66,2.07,1.1,0.8,247.0,5,1,2,0,0,3,"lunch, dinner",100g,6.398,7.66,0.06,"Soups, broth-based",other,23.03,45.93,32.12,0.7,9.0,8
"Congee, With Meat, Poultry, And/Or Seafood",balanced_foods,58.0,4.34,7.0,1.28,0.1,0.01,246.0,5,1,2,0,0,3,"lunch, dinner",100g,6.398,7.66,0.07,Rice mixed dishes,other,29.93,48.28,19.86,0.45,14.0,8
"Potato, Mashed, From Restaurant, With Gravy",balanced_foods,120.0,1.8,14.48,6.3,0.9,1.7,373.0,4,3,5,0,0,3,"pre_workout, lunch, dinner",100g,6.375,2.25,0.02,Mashed potatoes and white potato mixtures,other,6.0,48.27,47.25,2.92,14.0,12
"Soup, Chicken Noodle, Canned",balanced_foods,42.0,2.38,6.02,0.98,0.8,1.2,267.0,5,1,2,0,0,3,"lunch, dinner",100g,6.371,7.57,0.06,"Soups, broth-based",other,22.67,57.33,21.0,0.21,10.0,8
"Vegetables, Stew Type, Cooked, Fat Added",balanced_foods,97.0,1.44,15.11,3.64,2.0,3.04,181.0,5,2,4,0,0,3,"breakfast, pre_workout, lunch, dinner",100g,6.365,3.55,0.01,Other vegetables and combinations,vegetables,5.94,62.31,33.77,0.94,3.0,11
"Caesar Salad, With Romaine, No Dressing",balanced_foods,77.0,4.0,7.49,3.41,1.8,1.23,238.0,5,1,2,0,0,3,"lunch, dinner",100g,6.359,7.53,0.05,Lettuce and lettuce salads,vegetables,20.78,38.91,39.86,1.67,8.0,8
"Bamboo Shoots, Cooked",balanced_foods,41.0,1.68,3.13,2.94,1.4,1.84,15.0,5,1,2,0,0,3,"lunch, dinner",100g,6.353,7.51,0.04,Other vegetables and combinations,vegetables,16.39,30.54,64.54,0.76,2.0,8
"Seaweed, Cooked, No Added Fat",balanced_foods,41.0,3.51,7.94,0.49,0.7,0.58,384.0,4,1,1,0,0,3,"lunch, dinner",100g,6.300000000000001,10.0,0.09,Other vegetables and combinations,vegetables,34.24,77.46,10.76,0.15,0.0,6
