Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
Mayonnaise-Type Salad Dressing,processed_foods,250.0,0.65,14.78,21.6,0.0,10.02,653.0,2,5,3,1,2,0,flexible,100g,4.978,0.26,0.0,Mayonnaise,other,1.04,23.65,77.76,3.4,19.0,10
"Ranch Dip, Light",processed_foods,201.0,2.35,13.95,15.25,0.2,7.78,607.0,2,4,3,1,2,0,flexible,100g,4.881,1.27,0.01,"Dips, gravies, other sauces",other,4.68,27.76,68.28,4.68,24.0,9
"Vegetable Dip, Light",processed_foods,198.0,2.04,13.6,15.19,0.3,7.37,602.0,2,4,3,1,2,0,pre_workout,100g,4.854,1.18,0.01,"Dips, gravies, other sauces",other,4.12,27.47,69.05,4.64,24.0,9
"Seaweed, Pickled",processed_foods,54.0,2.91,11.44,0.42,0.6,5.35,1263.0,4,0,1,0,0,3,pre_workout,100g,4.85,6.5,0.05,"Olives, pickles, pickled vegetables",healthy_fats,21.56,84.74,7.0,0.12,0.0,5
"Chipotle Dip, Light",processed_foods,195.0,1.82,13.2,15.15,0.0,7.36,598.0,2,4,3,1,2,0,pre_workout,100g,4.779,0.93,0.01,"Dips, gravies, other sauces",other,3.73,27.08,69.92,4.63,24.0,9
Tartar Sauce,processed_foods,211.0,1.0,13.3,16.7,0.5,4.25,667.0,2,4,3,1,2,0,flexible,100g,4.713,0.71,0.0,Mayonnaise,other,1.9,25.21,71.23,3.33,7.0,9
"Cabbage, Red, Pickled",processed_foods,49.0,1.03,10.49,0.19,1.7,8.05,954.0,4,0,1,0,0,3,pre_workout,100g,4.571,5.57,0.02,"Olives, pickles, pickled vegetables",healthy_fats,8.41,85.63,3.49,0.02,0.0,5
"Vegetables, Pickled",processed_foods,46.0,0.94,10.18,0.21,1.6,7.48,983.0,4,0,1,0,0,3,pre_workout,100g,4.555999999999999,5.52,0.02,"Olives, pickles, pickled vegetables",healthy_fats,8.17,88.52,4.11,0.06,0.0,5
"Italian Dressing, Made With Vinegar And Oil",processed_foods,240.0,0.41,12.12,21.12,0.0,10.77,993.0,2,4,3,1,2,0,flexible,100g,4.551,0.17,0.0,Salad dressings and vegetable oils,healthy_fats,0.68,20.2,79.2,2.95,0.0,9
"Mayonnaise, Light",processed_foods,238.0,0.37,9.23,22.22,0.0,3.56,827.0,2,4,3,1,2,0,flexible,100g,4.548,0.16,0.0,Mayonnaise,other,0.62,15.51,84.03,3.45,16.0,9
"Radishes, Pickled",processed_foods,34.0,0.56,7.68,0.1,1.3,6.41,977.0,4,0,1,0,0,3,flexible,100g,4.541,5.47,0.02,"Olives, pickles, pickled vegetables",healthy_fats,6.59,90.35,2.65,0.03,0.0,5
