Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Pineapple Juice, 100%",fruits,53.0,0.36,12.87,0.12,0.2,9.98,2.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.918,1.06,0.01,Other fruit juice,fruits,2.72,97.13,2.04,0.01,0.0,7
"Blackberry Juice, 100%",fruits,38.0,0.3,7.8,0.6,0.1,7.7,1.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.915,1.05,0.01,Other fruit juice,fruits,3.16,82.11,14.21,0.02,0.0,7
"Orange Juice Beverage, 40-50% Juice, Light",fruits,21.0,0.21,5.42,0.0,0.0,4.17,4.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.9,1.0,0.01,Fruit drinks,fruits,4.0,100.0,0.0,0.0,0.0,7
"Fruit Juice,",fruits,51.0,0.29,12.1,0.26,0.2,10.4,5.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.888,0.96,0.01,Other fruit juice,fruits,2.27,94.9,4.59,0.02,0.0,7
"Grape Juice, 100%, With Calcium Added",fruits,62.0,0.37,14.77,0.13,0.2,14.2,5.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.876,0.92,0.01,Other fruit juice,fruits,2.39,95.29,1.89,0.02,0.0,7
"Apple Juice, 100%, With Calcium Added",fruits,48.0,0.12,11.49,0.17,0.3,9.47,5.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.864,0.88,0.0,Apple juice,fruits,1.0,95.75,3.19,0.03,0.0,7
"Cranberry Juice Blend, 100% Juice, With Calcium Added",fruits,45.0,0.27,10.91,0.12,0.1,9.8,6.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.846,0.82,0.01,Other fruit juice,fruits,2.4,96.98,2.4,0.0,0.0,7
"Fruit Nectar,",fruits,51.0,0.11,13.12,0.06,0.3,12.45,5.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.84,0.8,0.0,Fruit drinks,fruits,0.86,100.0,1.06,0.01,0.0,7
Orange Blossom,fruits,98.0,0.57,9.32,0.26,0.2,7.85,2.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.837,0.79,0.01,Liquor and cocktails,other,2.33,38.04,2.39,0.01,0.0,7
"Frozen Fruit Juice Bar, No Sugar Added",fruits,30.0,0.12,7.35,0.01,0.1,3.12,9.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.819,0.73,0.0,"Gelatins, ices, sorbets",other,1.6,98.0,0.3,0.0,0.0,7
